"year";"lss.fit";"country"
1989;0,91857337715741;"ITA"
1989;0,249940069247734;"LUX"
1989;-0,512952161154584;"LUX"
1989;0,420634879310797;"LUX"
1989;-0,252177216857264;"NLD"
1989;-0,48628811237098;"NLD"
1989;-0,300241229791006;"NLD"
1989;-1,64087667235179;"NLD"
1989;-0,462133695164898;"NLD"
1990;-0,677613252017211;"DEU"
1990;0,910628097225727;"DEU"
1990;1,16172092526938;"DEU"
1990;0,311731131612314;"DEU"
1990;0,35593507921421;"DNK"
1990;-0,665819588615293;"DNK"
1990;0,0591078156810244;"ESP"
1990;0,0536024830496196;"GBR"
1990;-0,0434301659825519;"IRL"
1990;0,723941319715356;"ITA"
1990;0,204382347854701;"NLD"
1991;-1,00910946702602;"BEL"
1991;-1,09325427176987;"BEL"
1991;0,2753468261322;"BEL"
1991;0,108858891801398;"BEL"
1991;0,31347004613435;"DEU"
1991;0,0863173223411238;"DEU"
1991;-1,72593077341473;"DEU"
1991;-0,786857841570803;"DEU"
1991;-0,46624824005081;"ESP"
1991;-0,479733569720377;"GBR"
1991;-1,77473524241849;"GBR"
1991;0,00124445392570829;"GBR"
1991;-0,860485064083458;"GBR"
1991;-0,0750748943237812;"GRC"
1991;0,0912595294776473;"GRC"
1991;0,141680421565624;"GRC"
1991;0,101760195804881;"GRC"
1991;-1,30056854605392;"IRL"
1991;0,0642329271066483;"IRL"
1991;0,464361618381786;"IRL"
1991;0,763507329751326;"IRL"
1991;-0,0912478667698527;"ITA"
1991;0,110250076414986;"LUX"
1991;-1,00670424895455;"NLD"
1991;-2,77807481844756;"NLD"
1991;0,333419954413845;"NLD"
1991;0,320267443102646;"NLD"
1991;-0,955664654512865;"NLD"
1991;0,354448084193921;"NLD"
1991;0,242188538355077;"PRT"
1992;1,38464320039493;"DNK"
1992;0,251877380396298;"ESP"
1992;-0,138335552269585;"ESP"
1992;-0,364932951285154;"LUX"
1992;-0,803654179876367;"PRT"
1993;-0,419562300635478;"BEL"
1993;1,19811589079814;"DEU"
1993;0,588821180457575;"FRA"
1993;1,00728901274311;"IRL"
1993;0,378039599106154;"LUX"
1993;1,03699066301192;"PRT"
1994;0,107191451116254;"BEL"
1994;-0,551618419287888;"DEU"
1994;0,997906412010269;"DEU"
1994;-0,593132927799412;"ESP"
1995;1,71844205182358;"GRC"
1995;-0,104242804403288;"ITA"
1996;0,946316638967473;"DEU"
1996;3,04430343564844;"DEU"
1997;1,47409557709485;"DEU"
1997;0,435064725910774;"FIN"
1997;0,0662169881617982;"FIN"
1997;-0,10390806105314;"SWE"
1997;-0,418344227134042;"SWE"
1998;0,578226607136334;"AUT"
1998;0,185120026182731;"DEU"
1998;0,176656910419995;"DEU"
1998;0,272676851453454;"DEU"
1998;1,21415284306537;"DEU"
1998;-0,00675694606687413;"DEU"
1998;0,342791219543815;"DEU"
1998;0,802181286184257;"DEU"
1998;0,50807202053089;"LUX"
1998;0,124382873909239;"LUX"
1999;0,224286227011864;"SWE"
2000;0,112436835099927;"FRA"
2000;0,741071759736906;"GRC"
2000;-0,0765522308641065;"LUX"
2004;0,954426739048752;"ESP"
2004;1,22475227059068;"FRA"
2004;1,22518804717428;"LVA"
2005;0,618027974098262;"AUT"
2006;0,969184902280995;"DEU"
2006;0,325771570022303;"DEU"
2006;0,760405028453722;"GBR"
2006;-0,536058056392517;"SVN"
2006;0,726319943421295;"SVN"
2007;1,38237587578829;"HUN"
2008;0,320588741240703;"BEL"
2008;6,28864270102697;"FRA"
2008;0,705883724188063;"IRL"
2008;-0,896111822278906;"LTU"
2008;-1,62845721882475;"SWE"
2008;-0,0555688030190171;"SWE"
2009;0,982715289186311;"DEU"
2010;0,238619608365026;"CZE"
2010;0,149739816010598;"LVA"
2010;0,123284475570445;"MLT"
2011;-0,71771880516181;"EST"
2011;-0,812583220432381;"GRC"
2011;0,669078556926258;"LVA"
2012;-0,100546415592695;"BEL"
2012;-2,76537548545852;"HUN"
